Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VIX,SOFR3M,Daily_STIR,CFD_Ask,CFD_Bid,Portfolio_Value_Upper,Portfolio_Value_Lower,Cumulative_Cost_Upper,Cumulative_Cost_Lower
2023-12-07,4585.59,0.0066252271224398,0.1051722200717758,0.1306,0.053525,0.0002124007936507,4585.9717477552385,4585.208252244762,1000.0,1000.0,0.0,0.0
2023-12-08,4604.37,0.0067929801476972,0.1078352167908348,0.1235,0.05355,0.0002125,4604.763016711593,4603.976983288407,1077.8152983859995,1019.6131995964998,4.0375,0.85
2023-12-11,4622.44,0.0066429201005507,0.1054530873919765,0.1263,0.053525,0.0002124007936507,4622.825843160282,4622.0541568397175,1152.616512426481,1038.4728037018583,8.0731150793633,1.6996031746028
2023-12-12,4643.7,0.0064996784107066,0.1031791960597513,0.1207,0.05355,0.0002125,4644.079259579257,4643.320740420742,1241.32526011732,1060.8093656245678,12.1106150793633,2.5496031746028
2023-12-13,4707.09,0.0064070607177643,0.1017089357645724,0.1219,0.053525,0.0002124007936507,4707.468958718078,4706.711041281922,1513.742725640593,1129.0730326006244,16.1462301587266,3.3992063492056
2023-12-18,4740.56,0.0071424256402308,0.1133824920109324,0.1256,0.053525,0.0002124007936507,4740.985457075428,4740.134542924573,1655.471208035277,1164.6644537945333,20.1818452380899,4.2488095238084
2023-12-19,4768.37,0.0069755322635818,0.1107331417904696,0.1253,0.053525,0.0002124007936507,4768.787953254115,4767.952046745885,1772.7512283386582,1194.1437594656165,24.2174603174532,5.0984126984112
2023-12-20,4698.35,0.0069139068212366,0.1097548682211919,0.1367,0.0537,0.0002130952380952,4698.758177742696,4697.941822257305,1463.3790180640744,1116.960528325542,28.266269841261998,5.950793650792
2023-12-21,4746.75,0.0083004641652811,0.1317657836864229,0.1365,0.053675,0.000212996031746,4747.24508402917,4746.25491597083,1670.0315760173432,1168.7834148376687,32.313194444436,6.802777777776
2023-12-22,4754.63,0.0084837272192864,0.1346749944788494,0.1303,0.053675,0.000212996031746,4755.136854814964,4754.123145185036,1700.2989893429105,1176.51001519287,36.36011904761,7.65476190476
2023-12-26,4774.75,0.0081154821111015,0.128829284612209,0.1299,0.0536249999999999,0.0002127976190476,4775.2369060448855,4774.2630939551145,1784.0886860587173,1197.6170375861075,40.403273809514396,8.5059523809504
2023-12-27,4781.58,0.0078466144349949,0.1245611425728373,0.1243,0.053575,0.0002125992063492,4782.051448202139,4781.108551797861,1809.9032043859474,1204.230116572677,44.4426587301492,9.3563492063472
2023-12-28,4783.35,0.007528087517565,0.1195046845164407,0.1247,0.0536249999999999,0.0002127976190476,4783.802477637002,4782.897522362999,1813.6619754253234,1205.3294075468066,48.485813492053595,10.2075396825376
2023-12-29,4769.83,0.0072350311858335,0.114852559473074,0.1245,0.053575,0.0002125992063492,4770.263634337887,4769.396365662113,1750.742346824624,1189.7589498013938,52.5251984126884,11.0579365079344
2024-01-02,4742.83,0.0070605207633138,0.1120822923980186,0.132,0.0536249999999999,0.0002127976190476,4743.250779611531,4742.409220388469,1629.0048548184784,1159.484175014143,56.568353174592794,11.9091269841248
2024-01-03,4704.81,0.007109417675313,0.1128585068121913,0.1404,0.053675,0.000212996031746,4705.230297208085,4704.389702791916,1459.1500286940463,1117.1802155068444,60.61527777776679,12.7611111111088
2024-01-04,4688.68,0.0074025836523282,0.1175123724204773,0.1413,0.0536499999999999,0.0002128968253968,4689.116128273581,4688.2438717264195,1384.690987558492,1098.7251278420033,64.66031746030599,13.612698412696
2024-01-05,4697.24,0.0072447605789825,0.1150070088011524,0.1335,0.0536499999999999,0.0002128968253968,4697.667609302818,4696.812390697181,1418.0143375741932,1107.2156379649764,68.70535714284519,14.4642857142832
2024-01-08,4763.54,0.0069816099890181,0.1108296226907189,0.1308,0.0536499999999999,0.0002128968253968,4763.957893691211,4763.122106308789,1703.154313669673,1178.6603046078937,72.75039682538439,15.3158730158704
2024-01-09,4756.5,0.0079221442513881,0.1257601412373185,0.1276,0.0536499999999999,0.0002128968253968,4756.973489640229,4756.026510359771,1668.1644869744764,1170.0725205531423,76.79543650792358,16.1674603174576
2024-01-10,4783.45,0.0076296623156934,0.1211171344483561,0.1268999999999999,0.0536249999999999,0.0002127976190476,4783.908592384092,4782.9914076159075,1781.7186430522436,1198.62065778687,80.83859126982799,17.018650793648
2024-01-11,4780.24,0.0074841741558241,0.1188075815100449,0.1244,0.0536249999999999,0.0002127976190476,4780.689545749345,4779.790454250655,1763.715727780173,1194.2795271831378,84.88174603173239,17.8698412698384
2024-01-12,4783.83,0.0072088665656463,0.1144372090040905,0.127,0.0535999999999999,0.0002126984126984,4784.263334321373,4783.396665678627,1775.4015998679274,1197.3605190146004,88.92301587300199,18.720634920632
2024-01-16,4765.98,0.0069416187625455,0.110194781651493,0.1384,0.0535999999999999,0.0002126984126984,4766.395712799076,4765.564287200923,1693.5910830336616,1177.0674136155576,92.96428571427158,19.571428571425603
2024-01-17,4739.21,0.0068509681324166,0.1087557475104182,0.1479,0.0536249999999999,0.0002127976190476,4739.617979503397,4738.802020496603,1572.8343147724179,1147.0378197645323,97.00744047617599,20.422619047616003
2024-01-18,4780.94,0.0069225399445894,0.1098919148057674,0.1413,0.0536249999999999,0.0002127976190476,4781.355871530804,4780.524128469196,1750.7465241839393,1191.6754703316985,101.05059523808039,21.273809523806403
2024-01-19,4839.81,0.0071371938593121,0.113299440063584,0.133,0.0536499999999999,0.0002128968253968,4840.24404642656,4839.375953573441,2003.3617010980336,1254.9889371792697,105.09563492061959,22.1253968253936
2024-01-22,4850.43,0.0077664561072646,0.1232886685687257,0.1319,0.0536499999999999,0.0002128968253968,4850.903351102501,4849.9566488975,2045.4604054507174,1265.6732858864882,109.14067460315879,22.976984126980803
2024-01-23,4864.6,0.0074647032691112,0.1184984907657561,0.1255,0.0536249999999999,0.0002127976190476,4865.056288997563,4864.143711002438,2103.2888141666413,1280.2899862797549,113.18382936506319,23.828174603171203
2024-01-24,4868.55,0.0072061654498427,0.1143943301200187,0.1314,0.0536499999999999,0.0002128968253968,4868.990843283391,4868.1091567166095,2116.5375823498503,1283.7618509446047,117.22886904760239,24.6797619047584
2024-01-25,4894.16,0.0069391159721639,0.1101550510858921,0.1344999999999999,0.0536249999999999,0.0002127976190476,4894.586739390267,4893.7332606097325,2224.2443698141083,1310.848146024955,121.27202380950679,25.5309523809488
2024-01-26,4890.97,0.0068400498707977,0.1085824254804622,0.1326,0.0535999999999999,0.0002126984126984,4891.39037290263,4890.549627097371,2206.318873521073,1306.52629576122,125.31329365077639,26.381746031742402
2024-01-29,4927.93,0.0066213784136524,0.1051111237138541,0.136,0.053575,0.0002125992063492,4928.340009047823,4927.519990952178,2363.5118986034154,1345.9840014365675,129.3526785714112,27.232142857139202
2024-01-30,4924.97,0.0067479886598724,0.1071209990634396,0.1331,0.0535999999999999,0.0002126984126984,4925.387597993031,4924.55240200697,2346.528599859936,1341.8977005602214,133.3939484126808,28.082936507932803
2024-01-31,4845.65,0.0065365913606583,0.1037651709741315,0.1435,0.05355,0.0002125,4846.048000760423,4845.251999239576,1996.6520623376941,1254.5879411796611,137.4314484126808,28.932936507932805
2024-02-01,4906.19,0.0083155329451354,0.1320049931507576,0.1388,0.05355,0.0002125,4906.702642521097,4905.677357478902,2256.137154987346,1319.6185893420738,141.4689484126808,29.782936507932806
2024-02-02,4958.61,0.0087607649177684,0.1390728316026871,0.1384999999999999,0.05355,0.0002125,4959.155861038189,4958.06413896181,2480.565002636078,1375.884926254257,145.50644841268078,30.632936507932808
2024-02-05,4942.81,0.0089226434766506,0.1416425740590621,0.1367,0.05355,0.0002125,4943.364175799495,4942.255824200506,2407.5854522667437,1357.7994136619234,149.54394841268078,31.48293650793281
2024-02-06,4954.23,0.0086094893166967,0.1366714058834813,0.1306,0.053525,0.0002124007936507,4954.765961621256,4953.694038378743,2453.4333288762946,1369.4206834095492,153.5795634920441,32.33253968253561
2024-02-07,4995.06,0.0082403720710191,0.1308118512633532,0.1283,0.05355,0.0002125,4995.577210955629,4994.542789044372,2627.5423719099413,1413.1073191679607,157.61706349204408,33.18253968253561
2024-02-08,4997.91,0.0082259709509219,0.1305832405690854,0.1278999999999999,0.05355,0.0002125,4998.426601650816,4997.393398349183,2635.9367378768748,1415.365285659694,161.65456349204408,34.032539682535614
2024-02-09,5026.61,0.0078744403773852,0.1250028657142025,0.1293,0.05355,0.0002125,5027.10736489613,5026.112635103869,2757.147444077637,1445.8273372098845,165.69206349204407,34.882539682535615
2024-02-12,5021.84,0.0077088613229738,0.1223743797124396,0.1393,0.05355,0.0002125,5022.326444583413,5021.353555416587,2732.3549985653294,1439.7886008318078,169.72956349204406,35.73253968253562
2024-02-13,4953.17,0.0074204106684144,0.1177953675275714,0.1585,0.05355,0.0002125,4953.631839946697,4952.708160053303,2428.946289412612,1364.0957985436285,173.76706349204406,36.58253968253562
