Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VIX,SOFR3M,Daily_STIR,Theoretical_Spread
2022-11-01,3856.1,0.015032976969351766,0.2386411111551974,0.2581,0.034775,0.00013799603174603176,1.4568103320873433
2022-11-02,3759.69,0.014274311633162748,0.22659767230790928,0.2586,0.0348,0.00013809523809523808,1.3487049568071825
2022-11-03,3719.89,0.015814221121957885,0.2510429776013125,0.253,0.034825,0.00013819444444444445,1.4783852771020065
2022-11-04,3770.55,0.015351616131173685,0.2436993510360786,0.2455,0.034775,0.00013799603174603176,1.4546835767029052
2022-11-07,3806.8,0.015032995416314534,0.23864140399165296,0.2435,0.0348,0.00013809523809523808,1.438186866954311
2022-11-08,3828.11,0.014456084298216716,0.22948322390920273,0.2554,0.0347499999999999,0.000137896825396825,1.3907363969985909
2022-11-09,3748.57,0.01373399382072238,0.21802039294397535,0.2609,0.0347499999999999,0.000137896825396825,1.29381512181601
2022-11-10,3956.37,0.01469830633743273,0.23332837957614977,0.2353,0.0347249999999999,0.00013779761904761866,1.4614162481320818
2022-11-11,3992.93,0.021791573743840414,0.34593050881755893,0.2251999999999999,0.0347249999999999,0.00013779761904761866,2.186703846821615
2022-11-14,3957.25,0.02067271521117737,0.3281691802394246,0.2373,0.0347249999999999,0.00013779761904761866,2.0558938806202605
2022-11-15,3991.73,0.019700974600442334,0.312743276270223,0.2453999999999999,0.0347499999999999,0.000137896825396825,1.9763258903305996
2022-11-16,3958.79,0.01871302279952121,0.2970600276348889,0.2410999999999999,0.0347499999999999,0.000137896825396825,1.8617274814555458
2022-11-17,3946.56,0.017857852301467175,0.28348461683642756,0.2392999999999999,0.034775,0.00013799603174603176,1.771159372241641
2022-11-18,3965.34,0.01687070678576583,0.26781416758215737,0.2312,0.034775,0.00013799603174603176,1.6812156422935232
2022-11-21,3949.94,0.015951876459980998,0.2532281883476106,0.2236,0.034825,0.00013819444444444445,1.5834778728230958
2022-11-22,4003.58,0.01511954546591068,0.2400153434348032,0.2128999999999999,0.034825,0.00013819444444444445,1.521237344548581
2022-11-23,4027.26,0.014821305879951233,0.2352809367814218,0.2035,0.034825,0.00013819444444444445,1.5000504802432033
2022-11-25,4026.12,0.014083399327299817,0.223567033406698,0.205,0.0348,0.00013809523809523808,1.424964200766908
2022-11-28,3963.94,0.013308523168398628,0.2112662557267449,0.2221,0.034775,0.00013799603174603176,1.3257654398769319
2022-11-29,3957.63,0.013607473189444413,0.21601194018749295,0.2189,0.0347499999999999,0.000137896825396825,1.3533883338316173
2022-11-30,4080.11,0.01288332788479499,0.2045164898524281,0.2057999999999999,0.0347499999999999,0.000137896825396825,1.3210209195891593
2022-12-01,4076.57,0.015377841737316121,0.24411566962708747,0.1984,0.0347499999999999,0.000137896825396825,1.575433296774122
2022-12-02,4071.7,0.014520318351591817,0.23050290789479572,0.1906,0.034775,0.00013799603174603176,1.485804431713177
2022-12-05,3998.84,0.013725856019080213,0.21789120934779166,0.2075,0.034775,0.00013799603174603176,1.3793777511019698
2022-12-06,3941.26,0.014278572813287054,0.22666531644531265,0.2217,0.0347249999999999,0.00013779761904761866,1.4142612058292343
2022-12-07,3933.92,0.01433000946403001,0.22748184796215234,0.2268,0.0347249999999999,0.00013779761904761866,1.416712555193044
2022-12-08,3963.51,0.013560302826464294,0.21526313388930468,0.2229,0.0347499999999999,0.000137896825396825,1.350700619351187
2022-12-09,3934.38,0.012989353233459199,0.20619959008383454,0.2282999999999999,0.0347499999999999,0.000137896825396825,1.2843210258162117
