Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Theoretical_Spread
2023-04-12,4334.03,0.008079526150975075,0.1282585014403377,0.186254,0.0354999999999999,0.00014087301587301549,0.8800102596883335
2023-04-13,4363.24,0.007708189405024536,0.12236371334566713,0.176441,0.0354999999999999,0.00014087301587301549,0.8452232543725131
2023-04-14,4390.75,0.007892102517641626,0.12528324349863892,0.164374,0.0359499999999999,0.00014265873015872974,0.8708460326479326
2023-04-17,4367.61,0.007956468947758285,0.12630502889985712,0.174568,0.0359499999999999,0.00014265873015872974,0.8733215337413185
2023-04-18,4393.95,0.008081923668675571,0.12829656085393404,0.168952,0.03575,0.00014186507936507937,0.8924415647516071
2023-04-19,4393.57,0.008052504288629591,0.12782954267396987,0.1693319999999999,0.0360999999999999,0.00014325396825396787,0.8891160600869625
2023-04-20,4384.86,0.007693313317598378,0.12212756277879952,0.17727,0.0359,0.00014246031746031746,0.8477720913620033
2023-04-21,4408.59,0.007523765099474881,0.11943606825646606,0.170847,0.0360999999999999,0.00014325396825396787,0.8335754574789007
2023-04-24,4401.8,0.00758507565198389,0.12040934310456289,0.171568,0.0362999999999999,0.00014404761904761865,0.8390738777402476
2023-04-25,4377.85,0.007416105846445759,0.11772703059736586,0.179256,0.0359499999999999,0.00014265873015872974,0.8159185071137927
2023-04-26,4347.71,0.0077411375859344055,0.122886749502704,0.187788,0.0356,0.00014126984126984127,0.8458148599838751
2023-04-27,4358.05,0.008210958638603761,0.13034492749909818,0.181786,0.0357999999999999,0.00014206349206349168,0.8992822039604107
2023-04-28,4359.31,0.007832554608449947,0.12433794974574869,0.174304,0.0353499999999999,0.0001402777777777774,0.85808662314912
2023-05-02,4294.85,0.007525903229756172,0.11947001002243578,0.2056919999999999,0.0353,0.00014007936507936508,0.8123002733473186
2023-05-03,4310.18,0.010122006954139165,0.1606818790171116,0.199433,0.03555,0.00014107142857142855,1.0964071842499834
2023-05-04,4287.03,0.009322715940893078,0.14799352753980372,0.2083259999999999,0.0348,0.00013809523809523808,1.0044049250143416
2023-05-05,4340.43,0.009060398969698506,0.14382937471708854,0.182847,0.03495,0.0001386904761904762,0.9883026287004668
2023-05-08,4348.65,0.009900198244430948,0.15716077491001523,0.1807059999999999,0.03525,0.00013988095238095236,1.0819524781952623
2023-05-09,4323.09,0.00908312738402109,0.14419017710904292,0.189217,0.0353,0.00014007936507936508,0.9868236646323112
2023-05-10,4306.76,0.008961736575487586,0.14226315776407067,0.1866519999999999,0.03525,0.00013988095238095236,0.9699575409374575
2023-05-11,4309.75,0.00860432126187678,0.13658936555658854,0.185578,0.03525,0.00013988095238095236,0.9319199158503579
2023-05-12,4317.88,0.00809148544153486,0.12844834929240542,0.170094,0.0354,0.00014047619047619049,0.878028787167068
2023-05-15,4316.41,0.007727915516506102,0.12267685565755447,0.171689,0.0354999999999999,0.00014087301587301549,0.8382914018452539
2023-05-16,4315.51,0.007463418456503626,0.11847809499790879,0.168808,0.0356499999999999,0.00014146825396825355,0.8094311219056181
2023-05-17,4323.23,0.007268717199223874,0.11538730835762583,0.169505,0.0356999999999999,0.00014166666666666627,0.7897254067520407
2023-05-18,4367.45,0.007129732044567335,0.1131809874267195,0.156599,0.0357999999999999,0.00014206349206349168,0.7825483162937417
2023-05-19,4395.3,0.00817831297009656,0.12982669357757712,0.15715,0.0357999999999999,0.00014206349206349168,0.9033627479218467
2023-05-22,4385.63,0.00816597205386973,0.1296307876058559,0.163133,0.0359,0.00014246031746031746,0.900015126092967
2023-05-23,4342.38,0.007880673848142904,0.12510181899477912,0.176691,0.0359,0.00014246031746031746,0.860005303691878
