Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Theoretical_Spread
2020-04-07,7149.0,0.02527135948108347,0.401170394876767,0.518,0.0567,0.000225,4.54028930348295
2020-04-08,7161.45,0.033138151053889425,0.5260518395825063,0.522425,0.0563,0.00022341269841269842,5.964016009620082
2020-04-09,7441.65,0.031120415267579395,0.49402127697043613,0.49745,0.0562,0.00022301587301587302,5.820016309478206
2020-04-13,7360.35,0.03152698568184659,0.5004753822099611,0.514575,0.056,0.00022222222222222223,5.831637115116564
2020-04-15,7344.35,0.029852002391603596,0.47388584679293105,0.49735,0.0558,0.00022142857142857145,5.509807439186716
2020-04-16,7412.3,0.02805868609345634,0.44541783311107147,0.46095,0.0545,0.00021626984126984128,5.226728271524962
2020-04-17,7614.4,0.026487702517339413,0.4204792419740377,0.425925,0.0538,0.0002134920634920635,5.0686183874347535
2020-04-20,7614.6,0.026200825046487925,0.4159252033063164,0.43455,0.0529,0.00020992063492063494,5.013853985975857
2020-04-21,7395.85,0.02462254904286352,0.39087084847145004,0.451975,0.0529,0.00020992063492063494,4.576471257827279
2020-04-22,7533.8,0.025031239509125915,0.39735860849305005,0.428225,0.0529,0.00020992063492063494,4.739211303657839
2020-04-23,7625.3,0.024165052608570204,0.38360831772641657,0.3923,0.0527,0.0002091269841269841,4.630781796984365
2020-04-24,7493.45,0.022981963159153115,0.36482735495500485,0.391175,0.0527,0.0002091269841269841,4.327913644094451
2020-04-27,7603.95,0.022381280170710945,0.35529180812977446,0.380425,0.0528,0.0002095238095238095,4.276946627873258
2020-04-28,7672.45,0.021481166343873,0.34100294410499127,0.35355,0.0528,0.0002095238095238095,4.141918878697197
2020-04-29,7797.2,0.020358322894271932,0.3231783569315774,0.338375,0.0529,0.00020992063492063494,3.9892416874120045
2020-04-30,8012.9,0.01973924866270099,0.31335085817262665,0.339875,0.0529,0.00020992063492063494,3.9749349417459143
2020-05-04,7596.9,0.020346499837847205,0.32299067172935836,0.4367,0.0529,0.00020992063492063494,3.8845059905829658
2020-05-05,7523.05,0.025719800998576865,0.4082891832738307,0.436075,0.0526,0.00020873015873015873,4.862629461923007
2020-05-06,7575.5,0.024409448756937402,0.38748798630618647,0.412475,0.0525,0.00020833333333333332,4.647066744829317
2020-05-08,7552.0,0.02301978307499489,0.36542772750654123,0.384075,0.0521,0.00020674603174603175,4.3689075706413405
2020-05-11,7556.4,0.021681481651503964,0.3441828510317369,0.380375,0.0521,0.00020674603174603175,4.117309919348372
2020-05-12,7520.9,0.020390243390164025,0.32368507909471544,0.38205,0.0524,0.00020793650793650794,3.8539129429045715
2020-05-13,7667.0,0.0192668968413111,0.30585250546827036,0.38835,0.0519,0.00020595238095238096,3.7123329928913336
2020-05-14,7514.55,0.0190250199145701,0.30201282829202275,0.381825,0.0521,0.00020674603174603175,3.592839291723749
2020-05-15,7504.05,0.019107560207869533,0.3033231148272985,0.380175,0.0521,0.00020674603174603175,3.603384845883511
2020-05-18,7245.25,0.017998226495931528,0.28571298809068973,0.40915,0.052,0.00020634920634920634,3.2771234073129563
2020-05-19,7284.5,0.0204335822197339,0.32437306168564245,0.394525,0.0522,0.00020714285714285716,3.740709070989851
2020-05-20,7426.85,0.019272275327714652,0.30593788629299284,0.3581,0.052,0.00020634920634920634,3.59705711533843
2020-05-21,7470.6,0.019040706059231027,0.30226183811883595,0.32985,0.0517,0.00020515873015873018,3.5747709894662876
2020-05-22,7416.0,0.017985303034933297,0.2855078345074124,0.323775,0.0504,0.0002,3.3519473406586258
2020-05-26,7424.5,0.017137487748814746,0.27204918407867984,0.3147,0.0496,0.00019682539682539682,3.1975996470623613
2020-05-27,7595.55,0.016140606522649887,0.25622418521207174,0.312725,0.0492,0.00019523809523809525,3.0809795229909014
2020-05-28,7732.25,0.016693918848445018,0.2650077460804757,0.300175,0.049,0.00019444444444444446,3.2439481949193123
2020-05-29,7822.4,0.016601611748755993,0.26354241630033887,0.3022,0.0489,0.00019404761904761905,3.2636231055328153
2020-06-01,8020.1,0.015993594267931205,0.25389043801808464,0.307425,0.0489,0.00019404761904761905,3.223558785848809
2020-06-02,8137.45,0.016867260723816523,0.26775946304463505,0.30115,0.0488,0.00019365079365079368,3.4493924849082305
2020-06-03,8203.0,0.016452596840044298,0.26117687795978606,0.300425,0.0486,0.00019285714285714284,3.391695814734703
2020-06-04,8185.9,0.015658385150595155,0.2485691582480487,0.2969,0.0486,0.00019285714285714284,3.221240483593874
2020-06-05,8299.35,0.014791606595148808,0.23480947525119963,0.2868,0.0483,0.00019166666666666667,3.085099581669965
2020-06-08,8323.95,0.014521008194868963,0.23051385881732536,0.296475,0.0481,0.00019087301587301586,3.0376378670266604
2020-06-09,8238.1,0.013711390434695221,0.21766157531468022,0.30205,0.048,0.00019047619047619048,2.838692440065188
2020-06-10,8293.35,0.01343364096062554,0.21325243910367606,0.294375,0.0479,0.00019007936507936508,2.7998419872474187
2020-06-11,8137.0,0.012809736885790799,0.2033482689598407,0.2966,0.0478,0.0001896825396825397,2.619475461696993
2020-06-12,8196.4,0.013662084213813437,0.2168788633234305,0.308225,0.0477,0.0001892857142857143,2.814167135869866
2020-06-15,8086.45,0.01304757870586171,0.20712389080351232,0.325775,0.0476,0.0001888888888888889,2.6515366348105545
2020-06-16,8152.3,0.013151392369502503,0.2087718816236166,0.32965,0.0476,0.0001888888888888889,2.6943976196412223
2020-06-17,8140.45,0.012621675034331809,0.20036287961948757,0.33355,0.0475,0.0001884920634920635,2.582112863469547
2020-06-18,8283.65,0.011952682325034346,0.18974294959318908,0.31455,0.0475,0.0001884920634920635,2.4882668573686715
2020-06-19,8403.4,0.01244044768216552,0.19748598459191924,0.29965,0.0474,0.0001880952380952381,2.6272467577036878
2020-06-22,8486.45,0.012492067236115347,0.19830541960715517,0.3046,0.0473,0.0001876984126984127,2.66422063020309
2020-06-23,8621.1,0.012131460684233479,0.19258096806263558,0.2934,0.0468,0.00018571428571428572,2.6283645713970145
2020-06-24,8496.25,0.012380203790420822,0.19652964245851623,0.295775,0.0469,0.0001861111111111111,2.6434122324717464
2020-06-25,8499.9,0.012699863837889605,0.20160408839662924,0.297275,0.0468,0.00018571428571428572,2.712830684798064
2020-06-26,8559.0,0.012001398496602493,0.19051629484196794,0.28735,0.047,0.0001865079365079365,2.5814559297668893
2020-06-29,8488.05,0.011502834999274562,0.182601844681742,0.2891,0.0469,0.0001861111111111111,2.4537068225154144
2020-06-30,8474.8,0.011279402980665465,0.17905497134472903,0.291175,0.0469,0.0001861111111111111,2.402289988992834
2020-07-01,8554.75,0.010709293767964628,0.17000476816300958,0.281175,0.047,0.0001865079365079365,2.302385503710866
2020-07-02,8647.85,0.010488485240807867,0.16649954146169416,0.265075,0.0468,0.00018571428571428572,2.2794539194023855
2020-07-03,8696.25,0.010416231889627302,0.1653525550700054,0.257675,0.047,0.0001865079365079365,2.276420874060932
2020-07-06,8815.7,0.009981537882477123,0.15845200163402837,0.251975,0.047,0.0001865079365079365,2.2113841394730116
2020-07-07,8850.3,0.010280543202301462,0.16319856393567156,0.251025,0.0471,0.0001869047619047619,2.2865671840449977
